code,name_short,gender,function,country,nationality,height,weight,disciplines,events,birth_date,occupation,education,family,lang
1954796,CARVAJAL A,Female,Athlete,Spain,Spain,0,0,['Diving'],"[""Women's 10m Platform""]",3/09/2006,,,,Spanish
1954798,GARCIA BOISSIER N,Male,Athlete,Spain,Spain,0,0,['Diving'],"[""Men's Synchronised 3m Springboard""]",20/06/1995,Athlete,Studied Marine Engineering at the University of Las Palmas de Gran Canaria (ESP),,"English, Spanish"
1954804,de VALDES ALVAREZ,Female,Athlete,Spain,Spain,0,0,['Marathon Swimming'],"[""Women's 10km""]",19/10/1998,Student,"Studying Psychology at UCAM (Murcia, ESP)",,Spanish
1954805,MARTINEZ GUILLEN A,Female,Athlete,Spain,Spain,0,0,['Marathon Swimming'],"[""Women's 10km""]",18/03/2004,Student,Studying for a degree in Human Nutrition and Dietetics at Isabel I University (ESP),,Spanish
1954809,FERRE GASET T,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],10/11/2006,Athlete,,,Spanish
1954811,GARCIA POLO M,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],5/12/2004,"Athlete, student",Studies Pharmacy,"Sister, Paula",Spanish
1954813,LLUIS VALETTE L,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],28/07/2006,Athlete,,,"French, Spanish"
1954814,MAS PUJADAS M,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],25/12/1994,Athlete,Studied Chemistry and Psychology at the National University of Distance Education (ESP) and is pursuing a Master's degree in Health Psychology,"Fiancee, Pere Palmada","English, Spanish"
1954815,OZHOGINA OZHOGIN A,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],"['Team', 'Duet']",31/10/2000,Athlete,,One younger sister,"English, Spanish"
1954816,RAMIREZ IBANEZ P,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],23/04/1996,Athlete,"Studied Business Administration at the International University of La Rioja (Logronyo, ESP)",,Spanish
1954817,SALDANA LOPEZ S,Female,Alternate Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],25/07/2000,Athlete,"Received a Bachelor's degree in Graphic Design from the International University of La Rioja (Logronyo, ESP) in 2018",,Spanish
